Size Of Map, 40
Number of rows,10
Number of Cols,4
Coordinates of Blocks :
block number, min_ra,max_ra,min_decl,max_decl
0,357.9542095807038,357.98826136800636,2.5646291352701804,2.6256933612566815
1,357.9542095807038,357.98826136800636,2.6256933612566815,2.686757587243183
2,357.9542095807038,357.98826136800636,2.686757587243183,2.7478218132296846
3,357.9542095807038,357.98826136800636,2.7478218132296846,2.8088860392161856
4,357.9542095807038,357.98826136800636,2.8088860392161856,2.8699502652026867
5,357.9542095807038,357.98826136800636,2.8699502652026867,2.931014491189188
6,357.9542095807038,357.98826136800636,2.931014491189188,2.9920787171756897
7,357.9542095807038,357.98826136800636,2.9920787171756897,3.053142943162191
8,357.9542095807038,357.98826136800636,3.053142943162191,3.114207169148692
9,357.9542095807038,357.98826136800636,3.114207169148692,3.1752713951351934
10,357.98826136800636,358.022313155309,2.5646291352701804,2.6256933612566815
11,357.98826136800636,358.022313155309,2.6256933612566815,2.686757587243183
12,357.98826136800636,358.022313155309,2.686757587243183,2.7478218132296846
13,357.98826136800636,358.022313155309,2.7478218132296846,2.8088860392161856
14,357.98826136800636,358.022313155309,2.8088860392161856,2.8699502652026867
15,357.98826136800636,358.022313155309,2.8699502652026867,2.931014491189188
16,357.98826136800636,358.022313155309,2.931014491189188,2.9920787171756897
17,357.98826136800636,358.022313155309,2.9920787171756897,3.053142943162191
18,357.98826136800636,358.022313155309,3.053142943162191,3.114207169148692
19,357.98826136800636,358.022313155309,3.114207169148692,3.1752713951351934
20,358.022313155309,358.0563649426116,2.5646291352701804,2.6256933612566815
21,358.022313155309,358.0563649426116,2.6256933612566815,2.686757587243183
22,358.022313155309,358.0563649426116,2.686757587243183,2.7478218132296846
23,358.022313155309,358.0563649426116,2.7478218132296846,2.8088860392161856
24,358.022313155309,358.0563649426116,2.8088860392161856,2.8699502652026867
25,358.022313155309,358.0563649426116,2.8699502652026867,2.931014491189188
26,358.022313155309,358.0563649426116,2.931014491189188,2.9920787171756897
27,358.022313155309,358.0563649426116,2.9920787171756897,3.053142943162191
28,358.022313155309,358.0563649426116,3.053142943162191,3.114207169148692
29,358.022313155309,358.0563649426116,3.114207169148692,3.1752713951351934
30,358.0563649426116,358.0904167299142,2.5646291352701804,2.6256933612566815
31,358.0563649426116,358.0904167299142,2.6256933612566815,2.686757587243183
32,358.0563649426116,358.0904167299142,2.686757587243183,2.7478218132296846
33,358.0563649426116,358.0904167299142,2.7478218132296846,2.8088860392161856
34,358.0563649426116,358.0904167299142,2.8088860392161856,2.8699502652026867
35,358.0563649426116,358.0904167299142,2.8699502652026867,2.931014491189188
36,358.0563649426116,358.0904167299142,2.931014491189188,2.9920787171756897
37,358.0563649426116,358.0904167299142,2.9920787171756897,3.053142943162191
38,358.0563649426116,358.0904167299142,3.053142943162191,3.114207169148692
39,358.0563649426116,358.0904167299142,3.114207169148692,3.1752713951351934
block number,nbLines
38,4
36,1
18,4
0,17
10,7
37,3
39,2
29,11
27,3
19,11
31,1
21,1
5,1
