Size Of Map, 40
Number of rows,10
Number of Cols,4
Coordinates of Blocks :
block number, min_ra,max_ra,min_decl,max_decl
0,-0.02049581740538999,0.1326325298016536,-0.0021299325969507442,0.011491000922434283
1,-0.02049581740538999,0.1326325298016536,0.011491000922434283,0.02511193444181931
2,-0.02049581740538999,0.1326325298016536,0.02511193444181931,0.038732867961204336
3,-0.02049581740538999,0.1326325298016536,0.038732867961204336,0.05235380148058936
4,-0.02049581740538999,0.1326325298016536,0.05235380148058936,0.06597473499997439
5,-0.02049581740538999,0.1326325298016536,0.06597473499997439,0.07959566851935942
6,-0.02049581740538999,0.1326325298016536,0.07959566851935942,0.09321660203874445
7,-0.02049581740538999,0.1326325298016536,0.09321660203874445,0.10683753555812947
8,-0.02049581740538999,0.1326325298016536,0.10683753555812947,0.1204584690775145
9,-0.02049581740538999,0.1326325298016536,0.1204584690775145,0.13407940259689952
10,0.1326325298016536,0.28576087700869723,-0.0021299325969507442,0.011491000922434283
11,0.1326325298016536,0.28576087700869723,0.011491000922434283,0.02511193444181931
12,0.1326325298016536,0.28576087700869723,0.02511193444181931,0.038732867961204336
13,0.1326325298016536,0.28576087700869723,0.038732867961204336,0.05235380148058936
14,0.1326325298016536,0.28576087700869723,0.05235380148058936,0.06597473499997439
15,0.1326325298016536,0.28576087700869723,0.06597473499997439,0.07959566851935942
16,0.1326325298016536,0.28576087700869723,0.07959566851935942,0.09321660203874445
17,0.1326325298016536,0.28576087700869723,0.09321660203874445,0.10683753555812947
18,0.1326325298016536,0.28576087700869723,0.10683753555812947,0.1204584690775145
19,0.1326325298016536,0.28576087700869723,0.1204584690775145,0.13407940259689952
20,0.28576087700869723,0.43888922421574084,-0.0021299325969507442,0.011491000922434283
21,0.28576087700869723,0.43888922421574084,0.011491000922434283,0.02511193444181931
22,0.28576087700869723,0.43888922421574084,0.02511193444181931,0.038732867961204336
23,0.28576087700869723,0.43888922421574084,0.038732867961204336,0.05235380148058936
24,0.28576087700869723,0.43888922421574084,0.05235380148058936,0.06597473499997439
25,0.28576087700869723,0.43888922421574084,0.06597473499997439,0.07959566851935942
26,0.28576087700869723,0.43888922421574084,0.07959566851935942,0.09321660203874445
27,0.28576087700869723,0.43888922421574084,0.09321660203874445,0.10683753555812947
28,0.28576087700869723,0.43888922421574084,0.10683753555812947,0.1204584690775145
29,0.28576087700869723,0.43888922421574084,0.1204584690775145,0.13407940259689952
30,0.43888922421574084,0.5920175714227844,-0.0021299325969507442,0.011491000922434283
31,0.43888922421574084,0.5920175714227844,0.011491000922434283,0.02511193444181931
32,0.43888922421574084,0.5920175714227844,0.02511193444181931,0.038732867961204336
33,0.43888922421574084,0.5920175714227844,0.038732867961204336,0.05235380148058936
34,0.43888922421574084,0.5920175714227844,0.05235380148058936,0.06597473499997439
35,0.43888922421574084,0.5920175714227844,0.06597473499997439,0.07959566851935942
36,0.43888922421574084,0.5920175714227844,0.07959566851935942,0.09321660203874445
37,0.43888922421574084,0.5920175714227844,0.09321660203874445,0.10683753555812947
38,0.43888922421574084,0.5920175714227844,0.10683753555812947,0.1204584690775145
39,0.43888922421574084,0.5920175714227844,0.1204584690775145,0.13407940259689952
block number,nbLines
2,1
4,2
6,5
8,10
16,1
30,1
34,6
36,9
3,6
5,1
7,5
9,9
13,3
19,1
33,1
35,1
37,1
